,Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
87,7,3,3,0.4487632508833923,10.370805929717411,0,0,0.19332617576391958,2,0,8,1,2
88,2,1,5,0.5335689045936397,11.254189968552817,0,1,0.19332617576391958,3,4,5,2,2
89,4,4,3,0.18374558303886926,11.383485348791732,0,1,0.28657482859970135,3,0,8,1,2
90,2,1,3,0.6219081272084807,10.525211768465944,0,0,0.19332617576391958,0,4,0,0,2
91,0,3,3,0.5335689045936397,10.510802297245792,0,0,0.19332617576391958,3,4,0,2,2
92,7,3,5,0.2826855123674912,11.063134731790107,0,0,0.28657482859970135,3,0,9,1,2
93,4,1,3,0.6925795053003534,11.061462490597744,0,0,0.19332617576391958,2,0,8,2,2
94,2,4,3,0.19787985865724386,10.931153634628432,0,0,0.2549513724206101,3,0,8,1,2
95,0,0,3,0.28621908127208484,10.717261720884188,1,1,0.28657482859970135,2,0,8,1,2
96,4,3,3,0.5335689045936397,10.37232400089118,0,0,0.19332617576391958,3,4,0,0,1
97,4,3,1,0.5335689045936397,10.159709917169616,0,0,0.19332617576391958,1,0,8,0,1
98,2,3,2,0.46289752650176685,10.333403292740233,0,0,0.19332617576391958,1,0,8,2,2
99,7,1,4,0.6819787985865725,11.105659536357711,0,1,0.19332617576391958,3,4,5,2,2
100,7,3,3,0.4310954063604241,10.55342238395318,0,0,0.19332617576391958,3,0,8,0,2
101,7,3,1,0.4982332155477033,9.83063294843456,0,0,0.19332617576391958,0,3,0,0,2
102,4,3,3,0.5335689045936397,10.447907320733034,0,0,0.19332617576391958,2,4,0,0,1
103,7,4,3,0.24381625441696111,10.99575173454406,0,1,0.28657482859970135,3,0,8,2,2
104,13,4,3,0.19858657243816255,11.17598591917709,1,0,0.42102651334753777,2,0,8,1,2
105,7,3,2,0.31448763250883405,10.46628456073464,0,1,0.2549513724206101,2,0,8,2,2
106,10,3,1,0.4098939929328623,10.003598553570956,0,0,0.19332617576391958,1,4,0,1,2
107,2,4,3,0.21554770318021207,11.05978744833005,0,1,0.2549513724206101,3,0,8,2,2
108,11,1,5,0.5335689045936397,11.144911042902732,0,0,0.19332617576391958,3,4,8,2,2
109,10,3,3,0.31448763250883405,11.275358392990295,0,1,0.2549513724206101,3,0,8,1,2
110,2,4,5,0.28621908127208484,11.116014069333293,0,0,0.19332617576391958,3,4,8,2,2
111,4,4,3,0.1908127208480566,11.204674904025437,1,0,0.7082209109875846,3,0,8,1,2
112,10,0,3,0.24028268551236756,11.219074000897615,1,1,0.28657482859970135,2,0,8,1,2
113,7,3,1,0.33215547703180215,10.55758616512496,0,1,0.08153222667435767,2,3,0,1,2
114,4,4,3,0.18374558303886926,11.37128263483418,0,1,0.28657482859970135,2,0,8,1,2
115,7,0,3,0.20141342756183747,11.219066852909238,1,1,0.28657482859970135,2,0,8,1,2
116,7,3,3,0.33215547703180215,10.963974208231726,0,0,0.2549513724206101,3,0,9,1,2
117,4,3,3,0.5194346289752652,11.005825930702713,0,1,0.19332617576391958,3,4,8,2,2
118,2,3,1,0.46289752650176685,10.310615277730191,0,0,0.14033919308945292,1,4,0,2,2
119,2,3,3,0.3568904593639577,10.994857679947176,0,0,0.19332617576391958,3,0,8,2,2
120,0,3,2,0.4982332155477033,10.147261623643049,1,1,0.19332617576391958,1,4,0,1,2
121,11,1,5,0.3922261484098941,11.690461589827628,0,0,0.19332617576391958,3,5,8,2,2
122,10,3,3,0.5335689045936397,10.419692282932576,0,0,0.19332617576391958,2,0,8,2,1
123,7,3,5,0.6395759717314489,11.123120297421588,0,0,0.14033919308945292,3,0,9,2,2
124,0,3,1,0.4982332155477033,10.087028365734811,0,0,0.037693609068564726,0,0,8,0,2
125,7,3,1,0.4134275618374559,9.532389087931673,0,0,0.037693609068564726,4,3,0,1,1
126,7,3,3,0.33215547703180215,10.675061366393813,0,0,0.2549513724206101,2,4,0,1,2
127,2,3,1,0.3392226148409895,9.603146168052769,0,0,0.08153222667435767,0,0,4,0,2
128,4,3,5,0.7455830388692579,11.216927309554451,0,0,0.14033919308945292,3,5,8,0,2
129,7,3,3,0.6395759717314489,10.808592759018332,0,0,0.14033919308945292,2,0,8,1,2
130,4,3,3,0.5901060070671379,10.435449831034946,0,0,0.037693609068564726,2,4,0,0,2
131,4,3,1,0.5335689045936397,10.082583913974387,0,0,0.19332617576391958,1,4,0,0,2
132,0,4,3,0.32155477031802127,10.760018088869778,0,1,0.2549513724206101,3,0,8,1,2
133,0,3,1,0.5335689045936397,10.324700017611931,0,0,0.19332617576391958,1,0,8,2,2
134,7,3,3,0.48056537102473496,10.369151780182763,0,0,0.037693609068564726,3,4,0,1,2
135,7,3,3,0.33215547703180215,10.87124372398,0,0,0.2549513724206101,3,0,8,1,2
136,10,3,1,0.42756183745583043,9.506417665734745,0,0,0.037693609068564726,4,4,0,1,1
137,2,1,3,0.8162544169611308,10.81931097523836,0,0,0.14033919308945292,2,4,5,2,2
138,10,3,1,0.5335689045936397,10.188167121983652,0,0,0.19332617576391958,2,4,0,2,1
139,7,3,1,0.22261484098939935,10.525211768465944,0,1,0.28657482859970135,2,0,8,1,2
140,0,3,1,0.8162544169611308,10.460196261867386,0,1,0.14033919308945292,1,4,0,2,2
141,10,3,3,0.3745583038869259,10.99308509015976,0,1,0.2549513724206101,2,0,8,0,2
142,10,1,3,0.6042402826855124,10.742904151497523,0,1,0.19332617576391958,3,0,8,2,1
143,16,3,1,0.4982332155477033,10.375818471540954,0,0,0.037693609068564726,2,3,0,1,2
144,7,3,1,0.4134275618374559,9.88635767027266,0,0,0.037693609068564726,0,0,8,0,2
145,2,4,3,0.19787985865724386,10.977716980635757,0,0,0.2549513724206101,3,0,8,1,2
146,7,4,3,0.09893992932862192,11.583439099510642,1,1,1.0,4,0,9,1,2
147,2,3,1,0.46289752650176685,9.816202683605532,0,0,0.19332617576391958,4,4,0,1,2
148,11,1,5,0.7809187279151943,11.590859366057948,0,0,0.14033919308945292,3,4,8,2,2
149,0,3,1,0.4982332155477033,10.078119620845705,0,0,0.037693609068564726,1,4,0,1,2
150,4,1,5,0.6607773851590107,11.105867681227291,0,0,0.19332617576391958,3,0,9,2,2
151,4,1,3,0.6819787985865725,10.776844060703754,0,0,0.19332617576391958,3,0,0,2,2
152,10,3,1,0.42756183745583043,10.186161103256786,0,0,0.037693609068564726,2,0,5,1,2
153,11,1,5,0.7455830388692579,11.51989313428582,0,0,0.14033919308945292,3,4,8,2,2
